HOG	OG	Gene Tree Parent Clade	Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_GCF_000025125.1_protein	Crocosphaera_subtropica_ATCC_51142_GCF_000017845.1_protein	Rippkaea_orientalis_PCC_8801_GCF_000021805.1_protein	cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1_GCF_020885515.1_protein	cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko_GCF_000829235.1_protein	cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB_GCF_003574135.1_protein
N0.HOG0000606	OG0000564	n0	WP_012954023.1	WP_009547635.1	WP_012594477.1	WP_040054923.1	WP_044105787.1	WP_044105787.1
N0.HOG0000607	OG0000565	n0	WP_012954024.1	WP_009547637.1	WP_012596365.1	WP_229636980.1	WP_044107159.1	WP_119260430.1
N0.HOG0000608	OG0000566	n0	WP_012954025.1	WP_009545190.1	WP_012595211.1	WP_229636981.1	WP_044106283.1	WP_119259851.1
N0.HOG0000609	OG0000567	n0	WP_012954027.1	WP_009543673.1	WP_012594039.1	WP_229636982.1	WP_044106171.1	WP_119260927.1
N0.HOG0000610	OG0000568	n0	WP_012954028.1	WP_009543675.1	WP_012594828.1	WP_040054918.1	WP_044105634.1	WP_119259321.1
N0.HOG0000611	OG0000569	n0	WP_012954029.1	WP_009543678.1	WP_012594171.1	WP_040054917.1	WP_044107660.1	WP_119261018.1
N0.HOG0000612	OG0000570	n0	WP_012954031.1	WP_009543679.1	WP_012594172.1	WP_229636983.1	WP_044106942.1	WP_119260620.1
N0.HOG0000613	OG0000571	n0	WP_012954032.1	WP_009547094.1	WP_012594461.1	WP_229636984.1	WP_044106595.1	WP_119260103.1
N0.HOG0000614	OG0000572	n0	WP_012954033.1	WP_009543507.1	WP_015957350.1	WP_040054915.1	WP_044107194.1	WP_119260401.1
N0.HOG0000615	OG0000573	n0	WP_012954034.1	WP_009543508.1	WP_015785253.1	WP_040054914.1	WP_044107193.1	WP_119260402.1
N0.HOG0000616	OG0000574	n0	WP_012954035.1	WP_009547352.1	WP_012595475.1	WP_229636985.1	WP_044105902.1	WP_119259542.1
N0.HOG0000617	OG0000575	n0	WP_012954036.1	WP_009547351.1	WP_012595563.1	WP_040054912.1	WP_044107362.1	WP_119260984.1
N0.HOG0000618	OG0000576	n0	WP_012954037.1	WP_009547349.1	WP_012595561.1	WP_040054911.1	WP_044107360.1	WP_119260260.1
N0.HOG0000619	OG0000577	n0	WP_012954038.1	WP_009547347.1	WP_012595998.1	WP_229637721.1	WP_044105690.1	WP_119259361.1
N0.HOG0000620	OG0000578	n0	WP_012954039.1	WP_009547014.1, WP_009546074.1		WP_229636986.1	WP_044106164.1	WP_119259776.1
N0.HOG0000621	OG0000579	n0	WP_012954040.1	WP_009546529.1	WP_012594487.1	WP_040054909.1	WP_044105976.1	WP_119259613.1
N0.HOG0000622	OG0000580	n0	WP_012954041.1	WP_009546530.1	WP_012595880.1	WP_229636987.1	WP_044106930.1	WP_119260628.1
N0.HOG0000623	OG0000581	n0	WP_012954042.1	WP_009547677.1	WP_012595023.1	WP_229636988.1	WP_232509906.1	WP_232014597.1
N0.HOG0000624	OG0000582	n0	WP_012954044.1	WP_009547234.1	WP_012594263.1	WP_040054905.1	WP_044107271.1	WP_119260990.1
N0.HOG0000625	OG0000583	n0	WP_012954045.1	WP_009547235.1	WP_012594262.1	WP_229636989.1	WP_044107269.1	WP_119260339.1
N0.HOG0000626	OG0000584	n0	WP_012954048.1	WP_009545005.1	WP_012597217.1	WP_229636992.1	WP_044105682.1	WP_119259355.1
N0.HOG0000627	OG0000585	n0	WP_012954050.1	WP_009545566.1	WP_012594642.1	WP_229636994.1	WP_044107092.1	WP_119260482.1
N0.HOG0000628	OG0000586	n0	WP_012954051.1	WP_009545568.1	WP_012596875.1	WP_012954051.1	WP_171816448.1	WP_172582105.1
N0.HOG0000629	OG0000587	n0	WP_012954052.1	WP_009545307.1	WP_012595757.1	WP_229636995.1	WP_145972242.1	WP_119260721.1
N0.HOG0000630	OG0000588	n0	WP_012954054.1	WP_009545447.1	WP_012595279.1	WP_229636996.1	WP_044107207.1	WP_119260388.1
N0.HOG0000631	OG0000589	n0	WP_012954055.1	WP_009545453.1	WP_012594748.1	WP_040055221.1	WP_044105589.1	WP_119259284.1
N0.HOG0000632	OG0000590	n0	WP_012954056.1	WP_009543307.1	WP_012596147.1	WP_229636997.1	WP_044107308.1	WP_119260311.1
N0.HOG0000633	OG0000591	n0	WP_012954057.1	WP_009543308.1	WP_012596148.1	WP_040055143.1	WP_044107309.1	WP_119260310.1
N0.HOG0000634	OG0000592	n0	WP_012954058.1	WP_009543309.1	WP_012596149.1	WP_229636998.1	WP_044107310.1	WP_119260309.1
N0.HOG0000635	OG0000593	n0	WP_012954059.1	WP_009546706.1	WP_012596631.1	WP_229636999.1	WP_044106587.1	WP_119260093.1
N0.HOG0000636	OG0000594	n0	WP_012954061.1	WP_009544746.1	WP_012596898.1	WP_229637001.1	WP_044105574.1	WP_119259278.1
N0.HOG0000637	OG0000595	n0	WP_012954062.1	WP_009546819.1	WP_012594826.1	WP_229637002.1	WP_044106753.1	WP_119260788.1
N0.HOG0000638	OG0000596	n0	WP_012954065.1	WP_009544989.1	WP_012596064.1	WP_040055148.1	WP_044105937.1	WP_119259577.1
N0.HOG0000639	OG0000597	n0	WP_012954067.1	WP_009545022.1	WP_012596076.1	WP_229637723.1	WP_044106984.1	WP_119260582.1
N0.HOG0000640	OG0000598	n0	WP_012954071.1	WP_009546554.1	WP_203427701.1	WP_229637008.1	WP_044107546.1	WP_119260909.1
N0.HOG0000641	OG0000599	n0	WP_012954072.1	WP_009543212.1	WP_012597052.1	WP_229637009.1	WP_044106894.1	WP_119260660.1
N0.HOG0000642	OG0000600	n0	WP_012954074.1	WP_243397353.1	WP_012593526.1	WP_229637021.1	WP_084220190.1	WP_232014458.1
N0.HOG0000643	OG0000601	n0	WP_012954076.1	WP_009545299.1	WP_012595351.1	WP_229637023.1	WP_044105770.1	WP_119259412.1
N0.HOG0000644	OG0000602	n0	WP_012954078.1	WP_009543118.1	WP_015957302.1	WP_229637035.1	WP_044105886.1	WP_119259527.1
N0.HOG0000645	OG0000603	n0	WP_012954080.1	WP_009545097.1	WP_012595547.1	WP_040055125.1	WP_044105550.1	WP_119260119.1
N0.HOG0000646	OG0000604	n0	WP_012954082.1	WP_009543134.1	WP_012595256.1	WP_040055123.1	WP_044107478.1	WP_119260159.1
N0.HOG0000647	OG0000605	n0	WP_012954083.1	WP_009544432.1	WP_012594456.1	WP_229637038.1	WP_044105488.1	WP_232014465.1
N0.HOG0000648	OG0000606	n0	WP_012954087.1	WP_009543370.1	WP_012594482.1	WP_040054747.1	WP_044106956.1	WP_119260605.1
N0.HOG0000649	OG0000607	n0	WP_012954091.1	WP_009544020.1	WP_012595723.1	WP_229637726.1	WP_044105475.1	WP_119260147.1
N0.HOG0000650	OG0000608	n0	WP_012954092.1	WP_009544032.1	WP_012595722.1	WP_229637052.1	WP_044105478.1	WP_172582044.1
N0.HOG0000651	OG0000609	n0	WP_012954093.1	WP_009544037.1	WP_012593404.1	WP_229637061.1	WP_044107131.1	WP_119260449.1
N0.HOG0000652	OG0000610	n0	WP_012954100.1	WP_009545719.1	WP_012594294.1	WP_040054734.1	WP_044106883.1	WP_119260672.1
N0.HOG0000653	OG0000611	n0	WP_012954103.1	WP_009545656.1	WP_012593870.1	WP_040054733.1	WP_044106491.1	WP_119260020.1
N0.HOG0000654	OG0000612	n0	WP_012954105.1	WP_009545654.1	WP_012595980.1	WP_040054731.1	WP_044105922.1	WP_119259561.1
N0.HOG0000655	OG0000613	n0	WP_012954106.1	WP_009545653.1	WP_012595979.1	WP_040054730.1	WP_044105921.1	WP_119259560.1
N0.HOG0000656	OG0000614	n0	WP_012954107.1	WP_009545652.1	WP_012595978.1	WP_229637065.1	WP_044105920.1	WP_119259559.1
N0.HOG0000657	OG0000615	n0	WP_012954108.1	WP_009546607.1	WP_012596489.1	WP_229637066.1	WP_044106479.1	WP_119260001.1
N0.HOG0000658	OG0000616	n0	WP_012954109.1	WP_009543723.1	WP_012595901.1	WP_229637067.1	WP_044105763.1	WP_119259407.1
N0.HOG0000659	OG0000617	n0	WP_012954111.1	WP_009543719.1	WP_012596952.1	WP_229637068.1	WP_044107217.1	WP_119260381.1
N0.HOG0000660	OG0000618	n0	WP_012954112.1	WP_008274988.1	WP_012593577.1	WP_040054726.1	WP_044105798.1	WP_119259433.1
N0.HOG0000661	OG0000619	n0	WP_012954114.1	WP_009544586.1	WP_012594772.1	WP_229637070.1	WP_044105799.1	WP_119259434.1
N0.HOG0000662	OG0000620	n0	WP_012954116.1	WP_009544428.1	WP_012595671.1	WP_040054722.1	WP_044107633.1	WP_119261042.1
N0.HOG0000663	OG0000621	n0	WP_012954118.1	WP_009547098.1	WP_012593792.1	WP_229637072.1	WP_044107298.1	WP_119260318.1
N0.HOG0000664	OG0000622	n0	WP_012954119.1	WP_009547097.1	WP_012593791.1	WP_229637074.1	WP_044107299.1	WP_119260317.1
N0.HOG0000665	OG0000623	n0	WP_012954120.1	WP_009545930.1	WP_012593790.1	WP_229637079.1	WP_044107302.1	WP_119260316.1
N0.HOG0000666	OG0000624	n0	WP_012954121.1	WP_009545929.1	WP_012593789.1	WP_229637081.1	WP_044107692.1	WP_119260988.1
N0.HOG0000667	OG0000625	n0	WP_012954122.1	WP_009545749.1	WP_012594426.1	WP_229637083.1	WP_044105685.1	WP_119259359.1
N0.HOG0000668	OG0000626	n0	WP_012954123.1	WP_009545750.1	WP_012597185.1	WP_229637085.1	WP_044106832.1	WP_119260718.1
N0.HOG0000669	OG0000627	n0	WP_012954125.1	WP_009547510.1	WP_012597183.1	WP_229637086.1	WP_044106835.1	WP_232014508.1
N0.HOG0000670	OG0000628	n0	WP_012954126.1	WP_009543361.1	WP_012596128.1	WP_229637088.1	WP_044106672.1	WP_119260838.1
N0.HOG0000671	OG0000629	n0	WP_012954128.1	WP_009544034.1	WP_015785265.1	WP_229637095.1	WP_171816457.1	WP_119259938.1
N0.HOG0000672	OG0000630	n0	WP_012954129.1	WP_012362397.1	WP_012594205.1	WP_229637096.1	WP_044107531.1	WP_119260903.1
N0.HOG0000673	OG0000631	n0	WP_012954133.1	WP_008278381.1	WP_012596120.1	WP_012954133.1	WP_044107154.1	WP_119260435.1
N0.HOG0000674	OG0000632	n0	WP_012954135.1	WP_009546510.1	WP_015785209.1	WP_229637098.1	WP_044105888.1	WP_119259528.1
N0.HOG0000675	OG0000633	n0	WP_012954139.1	WP_009546518.1	WP_012594453.1	WP_040054703.1	WP_044107472.1	WP_119260176.1
N0.HOG0000676	OG0000634	n0	WP_012954141.1	WP_009546780.1	WP_012596915.1	WP_229637099.1	WP_044107473.1	WP_119260175.1
N0.HOG0000677	OG0000635	n0	WP_012954144.1	WP_009546783.1	WP_012596484.1	WP_229637111.1	WP_044106014.1	WP_119259651.1
N0.HOG0000678	OG0000636	n0	WP_012954145.1	WP_009546784.1	WP_015785134.1	WP_040055045.1	WP_044107560.1	WP_119259650.1
N0.HOG0000679	OG0000637	n0	WP_012954148.1	WP_009547199.1	WP_012594807.1	WP_229637116.1	WP_232509836.1	WP_119259523.1
N0.HOG0000680	OG0000638	n0	WP_012954149.1	WP_009547197.1	WP_012597191.1	WP_040055049.1	WP_044105723.1	WP_119259385.1
N0.HOG0000681	OG0000639	n0	WP_012954153.1	WP_009547267.1	WP_012594708.1	WP_229637122.1	WP_044106809.1	WP_119261031.1
N0.HOG0000682	OG0000640	n0	WP_012954155.1	WP_009547264.1	WP_241392687.1	WP_040055054.1	WP_044107066.1	WP_232014498.1
N0.HOG0000683	OG0000641	n0	WP_012954157.1	WP_009543520.1	WP_012595653.1	WP_229637125.1	WP_044105828.1	WP_119259465.1
N0.HOG0000684	OG0000642	n0	WP_012954158.1	WP_009546055.1	WP_012593654.1	WP_229637127.1	WP_044105893.1	WP_119259535.1
N0.HOG0000685	OG0000643	n0	WP_012954163.1	WP_009545467.1	WP_012594951.1	WP_229637142.1	WP_044105605.1	WP_119259290.1
N0.HOG0000686	OG0000644	n0	WP_012954167.1	WP_009545480.1	WP_012594993.1	WP_040055066.1	WP_044106293.1	WP_119259864.1
N0.HOG0000687	OG0000645	n0	WP_012954168.1	WP_009545481.1	WP_012594992.1	WP_229637164.1	WP_044107596.1	WP_119260943.1
N0.HOG0000688	OG0000646	n0	WP_012954169.1	WP_009547493.1	WP_012597056.1	WP_229637166.1	WP_044106394.1	WP_119259948.1
N0.HOG0000689	OG0000647	n0	WP_012954171.1	WP_009546757.1	WP_012594075.1	WP_229637168.1	WP_044106130.1	WP_119259740.1
N0.HOG0000690	OG0000648	n0	WP_012954172.1	WP_009547221.1	WP_012594091.1	WP_229637170.1	WP_044105807.1	WP_119259445.1
N0.HOG0000691	OG0000649	n0	WP_012954173.1	WP_009546157.1	WP_012596426.1	WP_229637171.1	WP_044106112.1	WP_119259730.1
N0.HOG0000692	OG0000650	n0	WP_012954175.1	WP_009546152.1	WP_012597258.1	WP_229637173.1	WP_044106799.1	WP_119260754.1
N0.HOG0000693	OG0000651	n0	WP_012954176.1	WP_009546153.1	WP_012597259.1	WP_040055072.1	WP_044106798.1	WP_119260755.1
N0.HOG0000694	OG0000652	n0	WP_012954177.1	WP_009546810.1	WP_012593539.1	WP_040055073.1	WP_044105816.1	WP_119259454.1
N0.HOG0000695	OG0000653	n0	WP_012954181.1	WP_009545846.1	WP_012596889.1	WP_229637177.1	WP_052470614.1	WP_119259797.1
N0.HOG0000696	OG0000654	n0	WP_012954182.1	WP_009547714.1	WP_041229609.1	WP_229637179.1	WP_084220198.1	WP_172582119.1
N0.HOG0000697	OG0000655	n0	WP_012954184.1	WP_009543296.1	WP_012593924.1	WP_229637181.1	WP_044105926.1	WP_119259565.1
N0.HOG0000698	OG0000656	n0	WP_012954185.1	WP_009543297.1	WP_012593925.1	WP_229637182.1	WP_044107293.1	WP_119260322.1
N0.HOG0000699	OG0000657	n0	WP_012954186.1	WP_012362149.1	WP_012596512.1	WP_229637731.1	WP_044105461.1	WP_119260155.1
N0.HOG0000700	OG0000658	n0	WP_012954187.1	WP_009545437.1	WP_012595266.1	WP_040055199.1	WP_044105666.1	WP_119259346.1
N0.HOG0000701	OG0000659	n0	WP_012954189.1	WP_009545439.1	WP_012596613.1	WP_229637183.1	WP_044106064.1	WP_119259693.1
N0.HOG0000702	OG0000660	n0	WP_012954190.1	WP_009544934.1	WP_015785323.1	WP_040055196.1	WP_044105499.1	WP_119260139.1
N0.HOG0000703	OG0000661	n0	WP_012954191.1	WP_009544933.1	WP_012595830.1	WP_229637184.1	WP_044107220.1	WP_119260377.1
N0.HOG0000704	OG0000662	n0	WP_012954192.1	WP_009544932.1	WP_012595831.1	WP_229637732.1	WP_044107219.1	WP_232014608.1
N0.HOG0000705	OG0000663	n0	WP_012954194.1	WP_009544878.1	WP_012595769.1	WP_229637187.1	WP_044105632.1	WP_119259319.1
N0.HOG0000706	OG0000664	n0	WP_012954198.1	WP_009546464.1	WP_012593762.1	WP_229637195.1	WP_044106472.1	WP_119259996.1
N0.HOG0000707	OG0000665	n0	WP_012954200.1	WP_024750202.1	WP_012595142.1	WP_229637199.1	WP_044106314.1	WP_119259877.1
N0.HOG0000708	OG0000666	n0	WP_012954201.1	WP_007310088.1	WP_012594865.1	WP_040054393.1	WP_044107437.1	WP_119260200.1
N0.HOG0000709	OG0000667	n0	WP_012954202.1	WP_008276351.1	WP_012594864.1	WP_040054392.1	WP_044107439.1	WP_119260199.1
N0.HOG0000710	OG0000668	n0	WP_012954204.1	WP_009543830.1	WP_012594862.1	WP_229637202.1	WP_044107442.1	WP_119260197.1
N0.HOG0000711	OG0000669	n0	WP_012954205.1	WP_007304701.1	WP_012594861.1	WP_040054389.1	WP_044107444.1	WP_044107444.1
N0.HOG0000712	OG0000670	n0	WP_012954207.1	WP_009544533.1	WP_012593841.1	WP_229637203.1	WP_044107049.1	WP_119260529.1
N0.HOG0000713	OG0000671	n0	WP_012954209.1	WP_009544645.1	WP_012596168.1	WP_229637204.1	WP_044107286.1	WP_119260328.1
N0.HOG0000714	OG0000672	n0	WP_012954210.1	WP_012361494.1	WP_241392716.1	WP_229637205.1	WP_171816464.1	WP_119260368.1
N0.HOG0000715	OG0000673	n0	WP_012954211.1	WP_009543313.1	WP_012594297.1	WP_229637206.1	WP_044106685.1	WP_119260830.1
N0.HOG0000716	OG0000674	n0	WP_012954212.1	WP_009546038.1	WP_012596323.1	WP_229637207.1	WP_044106414.1	WP_119259964.1
N0.HOG0000717	OG0000675	n0	WP_012954213.1	WP_009545692.1	WP_012595696.1	WP_229637208.1	WP_044106968.1	WP_119260596.1
N0.HOG0000718	OG0000676	n0	WP_012954214.1	WP_198019428.1	WP_012594364.1	WP_229637209.1	WP_044106967.1	WP_119260597.1
N0.HOG0000719	OG0000677	n0	WP_012954215.1	WP_009546969.1	WP_012594363.1	WP_229637210.1	WP_044106965.1	WP_119260598.1
N0.HOG0000720	OG0000678	n0	WP_012954216.1	WP_009546970.1	WP_012594362.1	WP_229637211.1	WP_044106964.1	WP_119260599.1
N0.HOG0000721	OG0000679	n0	WP_012954217.1	WP_009546971.1	WP_012594361.1	WP_229637212.1	WP_044106963.1	WP_119260600.1
N0.HOG0000722	OG0000680	n0	WP_012954218.1	WP_009543153.1	WP_012595604.1	WP_229637213.1	WP_044106369.1	WP_119259926.1
N0.HOG0000723	OG0000681	n0	WP_012954220.1	WP_009543155.1	WP_012595602.1	WP_040054376.1	WP_044106365.1	WP_119259924.1
N0.HOG0000724	OG0000682	n0	WP_012954221.1	WP_009543156.1	WP_012595601.1	WP_229637214.1	WP_044106363.1	WP_119259923.1
N0.HOG0000725	OG0000683	n0	WP_012954222.1	WP_009543157.1	WP_012595600.1	WP_229637215.1	WP_044106362.1	WP_119259922.1
N0.HOG0000726	OG0000684	n0	WP_012954223.1	WP_009543158.1	WP_012595599.1	WP_229637216.1	WP_044106360.1	WP_119259921.1
N0.HOG0000727	OG0000685	n0	WP_012954224.1	WP_009543160.1	WP_012594934.1	WP_040054372.1	WP_044105903.1	WP_119259543.1
N0.HOG0000728	OG0000686	n0	WP_012954225.1	WP_009545698.1	WP_012596979.1	WP_229637217.1	WP_044107312.1	WP_119260307.1
N0.HOG0000729	OG0000687	n0	WP_012954226.1	WP_009545881.1	WP_012593583.1	WP_040054370.1	WP_044106878.1	WP_119260677.1
N0.HOG0000730	OG0000688	n0	WP_012954227.1	WP_009546789.1	WP_012593855.1	WP_229637218.1	WP_044105969.1	WP_119259606.1
N0.HOG0000731	OG0000689	n0	WP_012954228.1	WP_009546019.1	WP_012593734.1	WP_229637219.1	WP_171816467.1	WP_119260212.1
N0.HOG0000732	OG0000690	n0	WP_012954230.1	WP_009543911.1	WP_012595251.1	WP_040054366.1	WP_044106265.1	WP_119259840.1
N0.HOG0000733	OG0000691	n0	WP_012954232.1	WP_009547191.1	WP_015957299.1	WP_229637221.1	WP_044106206.1	WP_119259806.1
N0.HOG0000734	OG0000692	n0	WP_012954233.1	WP_009547177.1	WP_012593981.1	WP_040054363.1	WP_044107204.1	WP_119260392.1
N0.HOG0000735	OG0000693	n0	WP_012954234.1	WP_009547668.1	WP_012596749.1	WP_229637222.1	WP_044105994.1	WP_119259632.1
N0.HOG0000736	OG0000694	n0	WP_012954236.1	WP_009545497.1	WP_012596295.1	WP_229637223.1	WP_044106157.1	WP_119259773.1
N0.HOG0000737	OG0000695	n0	WP_012954237.1	WP_008273172.1	WP_012596296.1	WP_040054359.1	WP_044107579.1	WP_119259772.1
N0.HOG0000738	OG0000696	n0	WP_012954238.1	WP_012362131.1	WP_049769551.1	WP_229637224.1	WP_232509848.1	WP_232014559.1
N0.HOG0000739	OG0000697	n0	WP_012954242.1	WP_024750255.1	WP_203427684.1	WP_229637227.1	WP_084220180.1	WP_119259837.1
N0.HOG0000740	OG0000698	n0	WP_012954243.1	WP_243397379.1	WP_241392676.1	WP_229637228.1	WP_232509863.1	WP_172582035.1
N0.HOG0000741	OG0000699	n0	WP_012954244.1	WP_009548015.1	WP_012594526.1	WP_229637229.1	WP_044107065.1	WP_119260516.1
N0.HOG0000742	OG0000700	n0	WP_012954245.1	WP_009543764.1	WP_012596681.1	WP_229637230.1	WP_171816388.1	WP_232014564.1
N0.HOG0000743	OG0000701	n0	WP_012954246.1	WP_009543765.1	WP_012596682.1	WP_229637231.1	WP_044106215.1	WP_119259812.1
N0.HOG0000744	OG0000702	n0	WP_012954247.1	WP_009543766.1	WP_012596683.1	WP_229637232.1	WP_044106216.1	WP_119259813.1
N0.HOG0000745	OG0000703	n0	WP_012954249.1	WP_009543407.1	WP_041229799.1	WP_040054348.1	WP_044107630.1	WP_119261044.1
N0.HOG0000746	OG0000704	n0	WP_012954253.1	WP_024750137.1	WP_012595122.1	WP_229637236.1	WP_044106948.1	WP_119260613.1
N0.HOG0000747	OG0000705	n0	WP_012954254.1	WP_009546581.1	WP_012595994.1	WP_229637237.1	WP_044107114.1	WP_119260462.1
N0.HOG0000748	OG0000706	n0	WP_012954255.1	WP_009543840.1	WP_012594706.1	WP_229637238.1	WP_044105758.1	WP_119259404.1
N0.HOG0000749	OG0000707	n0	WP_012954256.1	WP_009545178.1	WP_012593836.1	WP_229637239.1	WP_145972222.1	WP_119260901.1
N0.HOG0000750	OG0000708	n0	WP_012954258.1	WP_009547239.1	WP_012596968.1	WP_229637241.1	WP_044105877.1	WP_119259519.1
N0.HOG0000751	OG0000709	n0	WP_012954259.1	WP_009543797.1	WP_012595571.1	WP_040054338.1	WP_044106914.1	WP_119260642.1
N0.HOG0000752	OG0000710	n0	WP_012954260.1	WP_009543492.1, WP_009543798.1	WP_012595181.1	WP_229637242.1		WP_119260636.1
N0.HOG0000753	OG0000711	n0	WP_012954264.1	WP_009546546.1	WP_012595357.1	WP_229637734.1	WP_044107415.1	WP_119260216.1
N0.HOG0000754	OG0000712	n0	WP_012954266.1	WP_009546547.1	WP_012595359.1	WP_229637248.1	WP_044107418.1	WP_119260214.1
N0.HOG0000755	OG0000713	n0	WP_012954269.1	WP_009545540.1	WP_012594753.1	WP_229637250.1	WP_171816387.1	WP_172582023.1
N0.HOG0000756	OG0000714	n0	WP_012954270.1	WP_009545626.1	WP_012596718.1	WP_229637251.1	WP_044107668.1	WP_044107668.1
N0.HOG0000757	OG0000715	n0	WP_012954272.1	WP_009545631.1	WP_012596646.1	WP_229637736.1	WP_044106936.1	WP_119260624.1
N0.HOG0000758	OG0000716	n0	WP_012954274.1	WP_009543742.1	WP_012595129.1	WP_040054329.1	WP_044105942.1	WP_119260911.1
N0.HOG0000759	OG0000717	n0	WP_012954276.1	WP_009543740.1	WP_015785189.1	WP_040054327.1	WP_044107435.1	WP_119260203.1
N0.HOG0000760	OG0000718	n0	WP_012954278.1	WP_009546592.1	WP_012595185.1	WP_229637254.1	WP_052470652.1	WP_119259604.1
N0.HOG0000761	OG0000719	n0	WP_012954282.1	WP_009546095.1	WP_012594971.1	WP_229637257.1	WP_044106577.1	WP_119260081.1
N0.HOG0000762	OG0000720	n0	WP_012954283.1	WP_009546094.1	WP_012594970.1	WP_040054321.1	WP_044106578.1	WP_119260082.1
N0.HOG0000763	OG0000721	n0	WP_012954284.1	WP_009543435.1	WP_012594489.1	WP_229637258.1	WP_044107145.1	WP_119260440.1
N0.HOG0000764	OG0000722	n0	WP_012954285.1	WP_009543437.1	WP_012596107.1	WP_229637259.1	WP_044106744.1	WP_119260793.1
N0.HOG0000765	OG0000723	n0	WP_012954287.1	WP_009543835.1	WP_012595568.1	WP_229637260.1	WP_044106677.1	WP_119260832.1
N0.HOG0000766	OG0000724	n0	WP_012954289.1	WP_009543529.1	WP_012596132.1	WP_229637261.1	WP_044105892.1	WP_119259534.1
N0.HOG0000767	OG0000725	n0	WP_012954290.1	WP_009546528.1	WP_012596129.1	WP_229637262.1	WP_044105620.1	WP_119259305.1
N0.HOG0000768	OG0000726	n0	WP_012954291.1	WP_009545573.1	WP_012595595.1	WP_229637263.1	WP_044106357.1	WP_119259920.1
N0.HOG0000769	OG0000727	n0	WP_012954294.1	WP_009544716.1	WP_012595026.1	WP_040054310.1	WP_044107279.1	WP_119260333.1
N0.HOG0000770	OG0000728	n0	WP_012954296.1	WP_009544721.1	WP_012596337.1	WP_229637265.1	WP_044107195.1	WP_119260400.1
N0.HOG0000771	OG0000729	n0	WP_012954299.1	WP_009543907.1	WP_012595589.1	WP_040054306.1	WP_044106096.1	WP_119259720.1
N0.HOG0000772	OG0000730	n0	WP_012954300.1	WP_009543908.1	WP_012595590.1	WP_229637268.1	WP_044106095.1	WP_119259719.1
N0.HOG0000773	OG0000731	n0	WP_012954301.1	WP_009545831.1	WP_012595420.1	WP_229637269.1	WP_044105837.1	WP_119259476.1
N0.HOG0000774	OG0000732	n0	WP_012954302.1	WP_009545830.1	WP_012595421.1	WP_040054304.1	WP_044105838.1	WP_119259477.1
N0.HOG0000775	OG0000733	n0	WP_012954304.1	WP_009545828.1	WP_203427726.1	WP_229637271.1	WP_044106836.1	WP_119260715.1
N0.HOG0000776	OG0000734	n0	WP_012954305.1	WP_009543932.1	WP_012596865.1	WP_040054301.1	WP_044107624.1	WP_119261050.1
N0.HOG0000777	OG0000735	n0	WP_012954307.1	WP_009545261.1	WP_012593490.1	WP_229637272.1	WP_044106742.1	WP_119260794.1
N0.HOG0000778	OG0000736	n0	WP_012954308.1	WP_009547088.1	WP_012594613.1	WP_229637273.1	WP_044105890.1	WP_119259532.1
N0.HOG0000779	OG0000737	n0	WP_012954309.1	WP_009546027.1	WP_012593944.1	WP_229637274.1	WP_044105583.1	WP_119259282.1
N0.HOG0000780	OG0000738	n0	WP_012954311.1	WP_243397417.1	WP_012593512.1	WP_229637275.1	WP_044107063.1	WP_119260518.1
N0.HOG0000781	OG0000739	n0	WP_012954314.1	WP_009544061.1	WP_012595176.1	WP_040054294.1	WP_044106927.1	WP_119260631.1
N0.HOG0000782	OG0000740	n0	WP_012954315.1	WP_009544060.1	WP_012595177.1	WP_040054293.1	WP_044106926.1	WP_119260632.1
N0.HOG0000783	OG0000741	n0	WP_012954316.1	WP_009544059.1	WP_012595178.1	WP_229637278.1	WP_044106924.1	WP_119260633.1
N0.HOG0000784	OG0000742	n0	WP_012954317.1	WP_008274152.1	WP_012595179.1	WP_040054292.1	WP_044106923.1	WP_119260634.1
N0.HOG0000785	OG0000743	n0	WP_012954318.1	WP_009544057.1	WP_012595180.1	WP_229637279.1	WP_044106921.1	WP_119260635.1
N0.HOG0000786	OG0000744	n0	WP_012954319.1	WP_009545711.1	WP_012593420.1	WP_229637280.1	WP_044106983.1	WP_119260583.1
N0.HOG0000787	OG0000745	n0	WP_012954320.1	WP_009543975.1	WP_012595306.1	WP_229637281.1	WP_145972286.1	WP_119260687.1
N0.HOG0000788	OG0000746	n0	WP_012954325.1	WP_009545764.1	WP_015785366.1	WP_229637284.1	WP_044105873.1	WP_119259513.1
N0.HOG0000789	OG0000747	n0	WP_012954327.1	WP_009547053.1	WP_012596612.1	WP_040054848.1	WP_044106065.1	WP_119259694.1
N0.HOG0000790	OG0000748	n0	WP_012954330.1	WP_009546574.1	WP_012597203.1	WP_229637287.1	WP_044106717.1	WP_119260812.1
N0.HOG0000791	OG0000749	n0	WP_012954332.1	WP_009546577.1	WP_012595705.1	WP_229637288.1	WP_044106516.1	WP_119260041.1
N0.HOG0000792	OG0000750	n0	WP_012954333.1	WP_009546578.1	WP_012595704.1	WP_040054856.1	WP_044106518.1	WP_119260042.1
