Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA.gbff,Crocosphaera_subtropica_ATCC_51142.gbff,Rippkaea_orientalis_PCC_8801.gbff,cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1.gbff,cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko.gbff,cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB.gbff
1707_IS630_family_transpo...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1708_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1709_type_II_toxin-antito...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1710_Txe-YoeB_family_addi...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1711_DUF1499_domain-conta...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1712_alpha-beta_hydrolase...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1716_TMEM143_family_prote...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1717_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1718_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1719_permease.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1720_glcD.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1721_NUDIX_hydrolase.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1724_ArsB-NhaD_family_tra...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1727_exopolysaccharide_bi...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1730_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1731_UPF0104_family_prote...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1732_PIN_domain-containin...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1733_metH.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1734_chloride_channel_pro...faa,,,,,,,,,,,,,,0,1,1,1,1,1
1737_rpsN.faa,,,,,,,,,,,,,,0,1,1,1,1,1
1738_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1742_alpha-beta_hydrolase.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1743_TIGR04168_family_pro...faa,,,,,,,,,,,,,,0,1,1,0,1,1
1745_Rpn_family_recombina...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1746_pentapeptide_repeat-...faa,,,,,,,,,,,,,,0,1,1,0,1,1
1747_cation-proton_antipo...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1748_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1749_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1750_toll-interleukin-1_r...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1751_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1752_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1753_NUDIX_domain-contain...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1754_molybdenum_cofactor_...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1755_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1756_NblA-ycf18_family_pr...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1757_NblA-ycf18_family_pr...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1758_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1761_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1762_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1763_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1764_polysaccharide_deace...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1765_IS200-IS605_family_a...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1766_Uma2_family_endonucl...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1770_response_regulator.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1771_DUF4079_domain-conta...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1772_nuclear_transport_fa...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1773_DUF2237_domain-conta...faa,,,,,,,,,,,,,,0,1,1,0,1,1
1775_LppP-LprE_family_lip...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1776_META_and_DUF4377_dom...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1777_ABC_transporter_perm...faa,,,,,,,,,,,,,,0,1,1,0,0,1
1780_divalent-cation_tole...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1781_glycosyltransferase_...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1782_sugar_transferase.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1785_CPBP_family_intramem...faa,,,,,,,,,,,,,,0,1,1,0,1,1
1787_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1788_N-acetylmuramoyl-L-a...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1789_class_I_SAM-dependen...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1792_sulfotransferase.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1793_alpha-beta_fold_hydr...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1794_1-acyl-sn-glycerol-3...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1795_Uma2_family_endonucl...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1796_class_I_SAM-dependen...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1797_prolyl_oligopeptidas...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1798_Uma2_family_endonucl...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1799_M1_family_metallopep...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1800_circadian_clock_prot...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1801_RNA-binding_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1802_Nif11-like_leader_pe...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1803_calcium-translocatin...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1804_serine-threonine_pho...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1805_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1806_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1807_NAD-P--dependent_oxi...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1808_HAD-IA_family_hydrol...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1810_raiA.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1811_lipB.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1812_DUF427_domain-contai...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1814_MOSC_N-terminal_beta...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1815_ABC_transporter_perm...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1816_GAF_domain-containin...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1817_response_regulator.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1818_larE.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1819_lipid_kinase.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1820_Calvin_cycle_protein...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1821_EI24_domain-containi...faa,,,,,,,,,,,,,,0,1,1,0,0,1
1822_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1823_AAA_family_ATPase.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1825_msrB.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1826_glutathione_S-transf...faa,,,,,,,,,,,,,,0,1,1,0,1,1
1827_cyclic_2-3-diphospho...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1828_CsbD_family_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1829_CsbD_family_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1830_SH3_domain-containin...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1831_cardiolipin_synthase...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1832_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1834_ISL3_family_transpos...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1835_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1836_flavohemoglobin_expr...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1837_DUF2092_domain-conta...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1838_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1839_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1840_alpha-beta_hydrolase.faa,,,,,,,,,,,,,,0,1,1,0,0,1
1841_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1842_efflux_RND_transport...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1843_efflux_RND_transport...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1844_alpha-beta_hydrolase.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1845_crcB.faa,,,,,,,,,,,,,,0,1,1,0,0,1
1846_LysR_family_transcri...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1848_AI-2E_family_transpo...faa,,,,,,,,,,,,,,0,1,0,0,1,1
1849_S9_family_peptidase.faa,,,,,,,,,,,,,,0,1,1,0,0,1
1851_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,1
1852_fatty_acyl-AMP_ligas...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1853_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1854_alcohol_dehydrogenas...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1855_SRPBCC_family_protei...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1857_mechanosensitive_ion...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1859_HNH_endonuclease.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1860_dndC.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1861_dndD.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1862_dndE.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1863_DUF29_family_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1866_ATP-binding_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,1
1867_rhodanese-like_domai...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1868_glucose_1-dehydrogen...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1875_DUF1818_family_prote...faa,,,,,,,,,,,,,,0,1,1,0,1,1
1876_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1878_argH.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1879_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1881_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1882_DMT_family_transport...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1883_TIGR03643_family_pro...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1884_DUF393_domain-contai...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1885_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1886_murD.faa,,,,,,,,,,,,,,0,1,1,1,1,1
1887_homogentisate_phytyl...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1888_glycosyltransferase.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1889_glycosyltransferase.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1890_family_10_glycosylhy...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1891_ABC_transporter_perm...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1892_dps.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1893_mechanosensitive_ion...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1894_cimA.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1895_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1897_hpsL.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1898_hpsN.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1899_hpsO.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1904_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1906_IS982_family_transpo...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1907_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1909_LapA_family_protein.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1910_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1911_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1912_psbA.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1914_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1915_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1916_alpha-amylase_family...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1917_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1918_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1919_DJ-1-PfpI_family_pro...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1922_pentapeptide_repeat-...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1923_IscS_subfamily_cyste...faa,,,,,,,,,,,,,,0,1,1,0,1,1
1924_AhpC-TSA_family_prot...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1925_ATP-dependent_zinc_p...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1926_hisF.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1927_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1933_response_regulator.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1940_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,1,0
1944_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1945_glutathione_S-transf...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1946_nitrate_ABC_transpor...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1947_nitrate_ABC_transpor...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1948_ntrB.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1949_ABC_transporter_subs...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1950_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,1
1951_DUF4332_domain-conta...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1953_DUF4327_family_prote...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1954_hisH.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1955_grrM.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1956_grrA.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1957_grrA.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1958_grrP.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1959_panB.faa,,,,,,,,,,,,,,0,1,1,0,1,1
1961_Stp1-IreP_family_PP2...faa,,,,,,,,,,,,,,0,1,1,0,1,1
1965_protochlorophyllide_...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1966_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1967_S-layer_family_prote...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1968_ShlB-FhaC-HecB_famil...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1969_DUF58_domain-contain...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1970_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1971_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1973_S8-S53_family_peptid...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1974_bile_acid-sodium_sym...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1976_TIGR00266_family_pro...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1977_TIGR00266_family_pro...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1982_acylneuraminate_cyti...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1983_secondary_thiamine-p...faa,,,,,,,,,,,,,,0,1,1,0,1,1
1987_type_II_toxin-antito...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1988_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1989_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1990_cas2.faa,,,,,,,,,,,,,,0,1,1,0,0,0
1991_cas1.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1992_csx18.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1993_WYL_domain-containin...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1994_cas10.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1995_Uma2_family_endonucl...faa,,,,,,,,,,,,,,0,1,1,0,0,0
1996_type_III-B_CRISPR_mo...faa,,,,,,,,,,,,,,0,1,0,0,0,0
1997_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1998_cmr4.faa,,,,,,,,,,,,,,0,1,0,0,0,0
1999_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2000_RAMP_superfamily_CRI...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2002_ABC_transporter_subs...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2003_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2004_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2007_GFA_family_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2008_histidine_triad_nucl...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2009_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2011_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2012_pyridoxamine_5--phos...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2014_MATE_family_efflux_t...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2015_EAL_domain-containin...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2016_DUF928_domain-contai...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2024_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2027_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2032_nrdR.faa,,,,,,,,,,,,,,0,1,1,0,1,1
2033_photosystem_II_react...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2034_DUF2288_domain-conta...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2035_glycoside_hydrolase_...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2036_carbon-nitrogen_hydr...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2037_fumC.faa,,,,,,,,,,,,,,0,1,1,0,1,1
2038_HTTM_domain-containi...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2039_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2040_ABC_transporter_subs...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2044_mechanosensitive_ion...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2045_purU.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2046_NAD-P--dependent_oxi...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2047_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2050_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,1,1
2051_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2052_ltrA.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2053_hpsU.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2054_glycosyltransferase_...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2056_efflux_RND_transport...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2057_fibronectin-binding_...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2058_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2059_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2060_type_II_secretion_sy...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2061_type_IV_pilus_twitch...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2062_GspE-PulE_family_pro...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2063_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2065_kaiB.faa,,,,,,,,,,,,,,0,1,1,0,0,1
2066_circadian_clock_prot...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2067_alpha-beta_hydrolase.faa,,,,,,,,,,,,,,0,1,1,0,1,1
2068_purN.faa,,,,,,,,,,,,,,0,1,1,0,1,1
2069_aromatic_ring-hydrox...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2070_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2074_type_IV_pilus_twitch...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2075_circadian_clock_KaiB...faa,,,,,,,,,,,,,,0,1,1,0,0,1
2076_TMEM14_family_protei...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2077_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,1,1
2079_SUMF1-EgtB-PvdO_fami...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2083_methyl-accepting_che...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2084_chemotaxis_protein_C...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2085_response_regulator.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2086_response_regulator.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2087_hmpF.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2089_GFA_family_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2090_RrF2_family_transcri...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2092_DUF3143_domain-conta...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2095_chitin_deacetylase_f...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2096_class_I_SAM-dependen...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2097_DUF2808_domain-conta...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2101_pre-16S_rRNA-process...faa,,,,,,,,,,,,,,0,1,1,1,1,1
2102_sulfotransferase.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2103_2TM_domain-containin...faa,,,,,,,,,,,,,,0,1,1,1,1,1
2104_DUF697_domain-contai...faa,,,,,,,,,,,,,,0,1,1,1,1,1
2105_MFS_transporter.faa,,,,,,,,,,,,,,0,1,1,0,1,1
2106_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2109_XisI_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2110_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2111_leucine-rich_repeat_...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2112_glutathione_S-transf...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2114_-2Fe-2S-_ferredoxin_...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2115_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2116_DNA_starvation-stati...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2117_septal_ring_lytic_tr...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2118_tetratricopeptide_re...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2119_heavy-metal-associat...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2120_VOC_family_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2123_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2124_DNA-directed_RNA_pol...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2126_mechanosensitive_ion...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2129_pentapeptide_repeat-...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2132_DUF1036_domain-conta...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2133_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2135_ccsB.faa,,,,,,,,,,,,,,0,1,1,1,1,1
2136_SH3_domain-containin...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2137_bifunctional_orotidi...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2139_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2140_peptidylprolyl_isome...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2142_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2143_pckA.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2146_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2147_FkbM_family_methyltr...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2148_class_I_SAM-dependen...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2149_methyltransferase_do...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2150_glycosyltransferase.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2151_glycosyltransferase.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2152_glycosyltransferase.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2153_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2154_glycosyltransferase.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2155_class_I_SAM-dependen...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2156_FkbM_family_methyltr...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2157_FkbM_family_methyltr...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2158_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2159_glycosyltransferase.faa,,,,,,,,,,,,,,0,1,1,0,0,1
2164_alpha-beta_hydrolase.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2165_CYTH_domain-containi...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2166_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2167_-2Fe-2S-_ferredoxin_...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2168_DGQHR_domain-contain...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2169_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,0,0
2170_DUF4327_family_prote...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2171_DUF4327_family_prote...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2173_EAL_domain-containin...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2176_NYN_domain-containin...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2177_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2178_corA.faa,,,,,,,,,,,,,,0,1,1,0,0,1
2180_-2Fe-2S-_ferredoxin_...faa,,,,,,,,,,,,,,0,1,1,0,1,1
2185_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,1,1
2186_cysE.faa,,,,,,,,,,,,,,0,1,1,0,1,1
2188_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0
2189_4Fe-4S_binding_prote...faa,,,,,,,,,,,,,,0,1,1,0,0,0
2195_Mo-dependent_nitroge...faa,,,,,,,,,,,,,,0,1,0,0,0,0
2199_NifX-associated_nitr...faa,,,,,,,,,,,,,,0,1,1,0,1,1
